exp_id,exp_name,investigators,researchers,attachments,n_fcs_files_total,n_fcs_files_parse
FR-FCM-ZZZ3,Identification of B cells through negative gating,Karin Breuer,Karin Breuer,"new(""attachmentProxy"", description = ""a2006 FlowJo analysis file"", name = ""a2006analysis.jo"", url = ""https://flowrepository.org/experiments/3/attachments/1/download"", size = 15114009, md5sum = ""d8a8ab50dd39f4b6b8f480bf2115d303"", localpath = NULL)|new(""attachmentProxy"", description = ""a2007 FlowJo analysis file"", name = ""A2007_Analysis.jo"", url = ""https://flowrepository.org/experiments/3/attachments/2/download"", size = 14182427, md5sum = ""675564313a08816c51e1ce157c5fc47b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""A2007_live_gates.jo"", url = ""https://flowrepository.org/experiments/3/attachments/3/download"", size = 650145, md5sum = ""e718a819f178093ba525d9f39d6bd157"", localpath = NULL)|new(""attachmentProxy"", description = ""a2008 FlowJo analysis file"", name = ""A2008analysis.jo"", url = ""https://flowrepository.org/experiments/3/attachments/4/download"", size = 14324542, md5sum = ""89181afbe011f67a47d1e784444c5277"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""A2008livegates.jo"", url = ""https://flowrepository.org/experiments/3/attachments/5/download"", size = 649637, md5sum = ""a0c42d76bbb401028bb1beae25dafe9c"", localpath = NULL)|new(""attachmentProxy"", description = ""a2009 FlowJo analysis file"", name = ""A2009analysis.jo"", url = ""https://flowrepository.org/experiments/3/attachments/6/download"", size = 14150543, md5sum = ""234efecfbb6e6d2abda9d8c2738dbbda"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""A2009livegate.jo"", url = ""https://flowrepository.org/experiments/3/attachments/7/download"", size = 649509, md5sum = ""3b348d904764360fa040bca3f2258200"", localpath = NULL)|new(""attachmentProxy"", description = ""a2010 FloJo analysis file"", name = ""A2010Analysis.jo"", url = ""https://flowrepository.org/experiments/3/attachments/8/download"", size = 13699140, md5sum = ""eb24f7908e40ad119dc2d18377cad861"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""A2010livegate.jo"", url = ""https://flowrepository.org/experiments/3/attachments/9/download"", size = 616782, md5sum = ""157d1bd7de12b47961043b1c958249d9"", localpath = NULL)|new(""attachmentProxy"", description = ""plate map"", name = ""plate_map_for_6hr_ICC_5_concentrations.xlsx"", url = ""https://flowrepository.org/experiments/3/attachments/10/download"", size = 12227, md5sum = ""36546c5b133f0c2fe45435179edfbc21"", localpath = NULL)",284,30
FR-FCM-ZZZ4,FCS collection for software testing,Ryan Brinkman,Ryan Brinkman,"new(""attachmentProxy"", description = ""Information about Kaluza software has issues."", name = ""System_II_listmode_with_extra_info_in_bits_D10-D15.txt"", url = ""https://flowrepository.org/experiments/4/attachments/31/download"", size = 1628, md5sum = ""63d55b3e365383593e0c03ce040f2edd"", localpath = NULL)|new(""attachmentProxy"", description = ""Extracted headers and FCS TEXT segments from included FCS data files."", name = ""Extracted.FCS.headers.zip"", url = ""https://flowrepository.org/experiments/4/attachments/311/download"", size = 42457, md5sum = ""812ad617fc951e38c04f4a47a4f4e6b1"", localpath = NULL)|new(""attachmentProxy"", description = ""Descriptions and screenshots as provided by authors."", name = ""Metadata.zip"", url = ""https://flowrepository.org/experiments/4/attachments/312/download"", size = 6034139, md5sum = ""f5fb143b3147ce6aff3f246102fcc87c"", localpath = NULL)|new(""attachmentProxy"", description = ""Description of custom keywords used by Becton Dickinson"", name = ""Becton_Dickinson_FCS_Keywords.docx"", url = ""https://flowrepository.org/experiments/4/attachments/786/download"", size = 49898, md5sum = ""876dd5b7382833fab7036a82cad03156"", localpath = NULL)|new(""attachmentProxy"", description = ""Description of custom keywords used by R/BioConductor"", name = ""BioConductor_FCS_Keywords.txt"", url = ""https://flowrepository.org/experiments/4/attachments/787/download"", size = 1849, md5sum = ""d0927942ef83f70c018caedcbbb14ea1"", localpath = NULL)|new(""attachmentProxy"", description = ""Description of custom keywords used by Cytek Development"", name = ""Cytek_Development_FCS_Keywords.txt"", url = ""https://flowrepository.org/experiments/4/attachments/788/download"", size = 3271, md5sum = ""49feb9a17cabb4e36d2921bff5c4de13"", localpath = NULL)|new(""attachmentProxy"", description = ""Description of custom keywords used by Miltenyi Biotec"", name = ""Miltenyi_Biotec_FCS_Keywords.doc"", url = ""https://flowrepository.org/experiments/4/attachments/789/download"", size = 59904, md5sum = ""48dd2c0c24ce1ef6ceb8dec8224c8c46"", localpath = NULL)|new(""attachmentProxy"", description = ""Description of custom keywords used by Verity Software House"", name = ""Verity_Software_House_FCS_Keywords.xlsx"", url = ""https://flowrepository.org/experiments/4/attachments/790/download"", size = 11446, md5sum = ""20ad2d62b9c18ee0d809a48f5cda0f58"", localpath = NULL)|new(""attachmentProxy"", description = ""Description of custom keywords used by Sony"", name = ""Sony_FCS_Keywords.txt"", url = ""https://flowrepository.org/experiments/4/attachments/791/download"", size = 935, md5sum = ""9208dc1dd6761071433ad455bb912eed"", localpath = NULL)|new(""attachmentProxy"", description = ""Description of custom keywords used by FlowJo"", name = ""FlowJo_FCS_Keywords.txt"", url = ""https://flowrepository.org/experiments/4/attachments/792/download"", size = 317, md5sum = ""bf220dfe8eecd1171ceaa3d60b447679"", localpath = NULL)|new(""attachmentProxy"", description = ""Informal README by Josef Spidlen: a few points that may help developers implement robust FCS readers"", name = ""README.txt"", url = ""https://flowrepository.org/experiments/4/attachments/866/download"", size = 1971, md5sum = ""eba115c0b0500dd2aec085c773745255"", localpath = NULL)",39,30
FR-FCM-ZZZA,Human early preterm and full term cord blood study,Francesca D'Alessio,Francesca D'Alessio,NA,6,6
FR-FCM-ZZZE,ICCS CSI Portland 2011 Case 3,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""CSI_Portland_2011_Case_3_Analysis.pdf"", url = ""https://flowrepository.org/experiments/14/attachments/19/download"", size = 97113, md5sum = ""214f5531e94222e5c0fffadc67605bfb"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""CSI_Portland_2011_Case_3_History.doc"", url = ""https://flowrepository.org/experiments/14/attachments/20/download"", size = 34816, md5sum = ""fbebec0e81758acec9e421e63f57104b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""CSI_Portland_2011_Case_3_Analysis.pdf-(1)"", url = ""https://flowrepository.org/experiments/14/attachments/21/download"", size = 97113, md5sum = ""214f5531e94222e5c0fffadc67605bfb"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""CSI_Portland_2011_Case_3_History.doc-(1)"", url = ""https://flowrepository.org/experiments/14/attachments/22/download"", size = 34816, md5sum = ""fbebec0e81758acec9e421e63f57104b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""CSI_Portland_2011_Case_3_Analysis.pdf-(2)"", url = ""https://flowrepository.org/experiments/14/attachments/25/download"", size = 97113, md5sum = ""214f5531e94222e5c0fffadc67605bfb"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""CSI_Portland_2011_Case_3_History.doc-(2)"", url = ""https://flowrepository.org/experiments/14/attachments/26/download"", size = 34816, md5sum = ""fbebec0e81758acec9e421e63f57104b"", localpath = NULL)",7,7
FR-FCM-ZZZF,ICCS CSI Portland 2011 Case 1,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""CSI-Portland_Tembhare_Case_1_Analysis.pdf"", url = ""https://flowrepository.org/experiments/15/attachments/23/download"", size = 538336, md5sum = ""395a9f25fb06e1de8671f3df9bd1f93b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Tembhare_Case_1_History.doc"", url = ""https://flowrepository.org/experiments/15/attachments/24/download"", size = 34304, md5sum = ""e1ea7835d6753e5ac0978c0b6d522311"", localpath = NULL)",9,9
FR-FCM-ZZZG,ICCS CSI Portland 2011 Case 2,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""Roshal_Case_2_Analysis.pdf"", url = ""https://flowrepository.org/experiments/16/attachments/27/download"", size = 77539, md5sum = ""64f9ea16e185bf2c6c896369a4d9d3fa"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Roshal_Case_2_History.doc"", url = ""https://flowrepository.org/experiments/16/attachments/28/download"", size = 25600, md5sum = ""27ece5dcda00760bb1378f802e8716a7"", localpath = NULL)",2,2
FR-FCM-ZZZH,ICCS CSI Portland 2011 Case 4,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""Merzianu_Case_4_Analysis_Version_2.pdf"", url = ""https://flowrepository.org/experiments/17/attachments/29/download"", size = 3078931, md5sum = ""935c120cc4066f44cc9fa5765c3b8e68"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Merzianu_Case_4_History.doc"", url = ""https://flowrepository.org/experiments/17/attachments/30/download"", size = 50176, md5sum = ""9b03b190e7f905a4fdade0c753d4dcc1"", localpath = NULL)",12,12
FR-FCM-ZZZK,IDCRP's HIV Natural History Study,Mario Roederer,Nima Aghaeepour,"new(""attachmentProxy"", description = NULL, name = ""WRAIR_mstr_070902_CD8v2.jo"", url = ""https://flowrepository.org/experiments/20/attachments/89/download"", size = 52377550, md5sum = ""90d44dbfcaea57164cd4caf4b0bbfce4"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""WRAIR_mstr_070902_CD4v2.jo"", url = ""https://flowrepository.org/experiments/20/attachments/90/download"", size = 42479874, md5sum = ""274705ee7ccec74a841bd208a8f74d16"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""clinical_data_flow_repository.csv"", url = ""https://flowrepository.org/experiments/20/attachments/154/download"", size = 6248, md5sum = ""92f9d8b3868687d3a068c9dac267c791"", localpath = NULL)",466,30
FR-FCM-ZZZU,"HEUvsUE, FlowCAP-II",Nima Aghaeepour,Nima Aghaeepour,"new(""attachmentProxy"", description = NULL, name = ""HEUvsUE.csv"", url = ""https://flowrepository.org/experiments/30/attachments/88/download"", size = 7952, md5sum = ""943d9e636aa7023f413a87dbd414e86d"", localpath = NULL)",308,30
FR-FCM-ZZZV,flowCAP II Challenge 3,Raphael Gottardo,Greg Finak,"new(""attachmentProxy"", description = NULL, name = ""Challenge3Metadata.csv"", url = ""https://flowrepository.org/experiments/31/attachments/50/download"", size = 8875, md5sum = ""7619778534eadce8ab9d2ca6a736c233"", localpath = NULL)",240,30
