exp_id,version,filename,size,creator,n_params
FR-FCM-ZZZ3,FCS3.0,a2010_O1T2pb05i_A8_A08.fcs,15403715,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_B8_B08.fcs,13203714,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2009_O1T2pb05i_controls_G7_G07.fcs,883728,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_D3_D03.fcs,13203715,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2006_O1T2pb05i_controls_G10_G10.fcs,11999,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2006_O1T2pb05i_D8_D08.fcs,13203716,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2007_O1T2pb05i_F1_F01.fcs,13203711,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2009_O1T2pb05i_E8_E08.fcs,13203713,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2009_O1T2pb05i_A7_A07.fcs,13203711,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2006_O1T2pb05i_B8_B08.fcs,13203714,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2009_O1T2pb05i_A2_A02.fcs,13203712,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2010_O1T2pb05i_E6_E06.fcs,15403715,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_D7_D07.fcs,13203714,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_controls_G9_G09.fcs,883732,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2007_O1T2pb05i_controls_G4_G04.fcs,33205,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2007_O1T2pb05i_A8_A08.fcs,13203715,BD FACSDiva Software Version 5.0.2,22
